type,R,C,gen_ms,cont_ms,total_ms
sequential,100000,10000,13759.6,2315480,2329240
sequential,100000,10000,13752.9,2315490,2329240
sequential,100000,10000,13780  ,2315620,2329400
sequential,100000,10000,13753.4,2316500,2330250
sequential,100000,10000,13758.5,2315830,2329590
sequential,10000,50000,6890.32, 1158180,1165070
sequential,10000,50000,6877.90,  1158450,1165320
sequential,10000,50000,6891.92, 1160490,1167380
sequential,10000,50000,6895.33, 1160390,1167280
sequential,10000,50000,6884.68, 1148390,1155270